name,city_short_code,city_name,date,year_month,dataset_portion,meeting_section,speaker_role,start,end,text,topic
SEA_01_04_21,SEA,"Seattle, WA",2021-01-04,2021-01-01,Training,Public Comment,Commenter,267.0,363.0,"Hello, can you hear me? We can hear you.  Hello, my name is Arianna Laureano. I'm an American with a disability and a renter in the University District in Seattle, and I'm calling in in support of Council Member Sawant's bill to extend the eviction moratorium by one year. I'm an underpaid essential worker. I've worked the entirety of the pandemic. My expenses went up with COVID and my pay went down. I've lost wages to quarantine almost every month. Meanwhile, my burden has increased and the workplace has become deadly.  Healthcare expenses also rose drastically in 2021 for me and many others to account for the minimum wage raise. And now I owe $4,000 to an abusive slumlord. I've already cut into meds and foods at time to make rent, which has impacted my health and further risk my stability. My household has been living on ramen and rice for the past year, and my dog has gone hungry at times. We are formerly homeless, so we know what is coming. I have a tent and camping gear ready.  I lived paycheck to paycheck before this pandemic, and this isn't getting better. It's getting worse. Without extending the moratorium or finding a way to erase this debt, we will be homeless again. I have nowhere to cut from except for food, medicine, and healthcare, and I am in very poor health. I know in my heart that my life and the lives of many others rest in your hands upon your policies. My name is Ariana Laureano, and if I die on the streets of Seattle in 2021,  It will be your political choice. You may have saved us from COVID only to kill us with poverty. God save us all.",Homelessness
SEA_01_04_21,SEA,"Seattle, WA",2021-01-04,2021-01-01,Training,Public Comment,Commenter,392.0,503.0,"Hi. Good afternoon. Happy New Year. Howard Gale, District 7, commenting on police accountability.  Today, you're going to be voting on a law establishing and clarifying subpoena powers of the Office of Police Accountability and the Office of the Inspector General, contingent upon the police unions accepting this law during the current contract bargaining. This highlights two well-established failures of our so-called police accountability system. One, that justice and community safety can and has been routinely given away by the city when bargaining union contracts with police.  And second, that the city council's predilection for form over substance when it comes to police accountability. Unless the right questions are asked in a police use of force investigation, unless an officer's claims are subject to critical inquiry, then tools like subpoenas are completely meaningless. For example, in the OPA investigation into the 2019 SPD murder of Ryan Smith, officers made claims concerning their fears that Ryan Smith's girlfriend was seriously injured and facing imminent harm  despite the abundant evidence that 911 operators knew for a fact that not to be the case. Yet in the OPA investigation, no 911 personnel or SPD command staff were interviewed to determine how this happened or if the officers were lying. Subpoenas are irrelevant without truly independent investigations. Seattle needs true police accountability as other U.S. cities voted to have this last November  based on real community oversight with an elected body capable of investigating and disciplining police, and of course, having subpoena powers. But subpoenas in the hands of people that are not asking the right questions is not gonna give us accountability. Thanks.",Police Reform
SEA_03_01_21,SEA,"Seattle, WA",2021-03-01,2021-03-01,Training,Public Comment,Commenter,1299.0,1420.0,"Good afternoon. Howard Gale, District 7, commenting on continuing police abuse and failed accountability.  This afternoon, you will consider the council's proposed 2021 work program. The section of the work program on police accountability for 2021 reads like it was written in 2017, before George Floyd, before a seven-year-old child was sprayed in the face with chemical irritant, before over 13 SBD officers stood around and watched a woman they illegally arrested have repeated seizures as they stood around and did nothing.  Before Aubriana Inda was hit directly in the chest with a blast ball and, as noted in multiple media reports, died three times. Before an SBD officer, gratuitously and with clear malice, threw a blast ball at Seattle Gay News reporter Renee Rackety, concussing her and damaging her hearing. Before the injuries, beatings, and false arrests suffered by hundreds since last June. Before the SBD murders of Charlena Lyles, Aosea Falotogo, Danny Rodriguez, Ryan Smith.  Sean Leifer, Terry Kaver, and just recently Derek Hayden two weeks ago. None of these people will obtain any measure of justice or accountability under our current police accountability system. Yet for 2021, the council proposes more of the same with no significant changes. Have we learned nothing in the last nine months? Is it all forgotten so easily? Shame on any council member that allows this retrograde and thoughtless part of the 2021 council work program to pass without objection. Why does Seattle not observe  not deserve the police accountability system that the people of Newark, New Jersey, Nashville, Tennessee, San Diego, Portland, Oregon, and Chicago have chosen, a system that even our own Washington state legislature is now considering, a system providing for full civilian control of investigating and sanctioning police abuse without police investigating police. Yet the City Council and Community Police Commission have determined that Seattle should be exempt from these best practices. Why does Seattle remain stuck in self-serving, dysfunctional police accountability  that routinely allows officers to get away with abuse and sometimes even murder.",Police Reform
SEA_03_01_21,SEA,"Seattle, WA",2021-03-01,2021-03-01,Training,Public Comment,Commenter,1574.0,1597.0,"Hi, I'm Megan Cruz. I live in downtown District 7 in a small building.  I'm here to speak today on the wide-ranging land use proposals in Resolution 31994, the Council's work program for this year. These proposals would address design review, SEPA, and land use codes, all areas that would Megan, you went on mute.",Housing
SEA_03_01_21,SEA,"Seattle, WA",2021-03-01,2021-03-01,Training,Public Comment,Commenter,1608.0,1696.0,"Yeah. Can you hear me? We can. I don't know. Yeah. Okay. Hi. I'm Megan. Hi. Small building in District 7. I'm here to speak on the wide-ranging land use proposals in this year's Council Work Program. The proposals would address design review, SEPA, and land use codes, and these are all areas that would definitely benefit from improvements.  As the Council considers these proposals, my firm request is that you please prioritize transparency and public engagement. Follow the inclusive approach described today by Councilmember Morales, who's convening a group of her neighborhood stakeholders and government departments to discuss development in her district. Please follow the directive of 2019 CB119-600 by establishing a committee of public experts to inform SDCI  on environmental review and environmental justice. And please revive the director's rule to set minimum standards for tower waste storage and vehicle loading. This important rule was ready for a vote about a year ago, but was tabled without explanation. Today, the pandemic has been hard on downtown, which, along with Seattle's other urban villages, have absorbed 80% of the city's growth.  If we want our urban core to make a comeback, we need to design for resiliency and listen to the needs of people who have made a commitment to this challenged neighborhood. Thanks for your time.",Governance and Civic Engagement
SEA_03_01_21,SEA,"Seattle, WA",2021-03-01,2021-03-01,Training,Public Comment,Commenter,1438.0,1550.0,"Thank you. My name is Karen Gehlen, and I am a resident of District 7.  I am commenting on the Council 2021 work program included in the introduction and referral calendar. I urge you to include some critical missing elements. Within the Community Economic Development Committee, there is a line item regarding economic recovery for small businesses and workers impacted by the COVID. Impacts to downtown businesses predate the pandemic with open drug use, sidewalk camping, shoplifting, and personal safety concerns driving visitors away from downtown.  Unless these are addressed, downtown's decline will continue long after the pandemic ends. The work plan for the Public Safety and Human Services Committee infers that reducing the size and removing funding from the police department is an objective in and of itself. None of the work items appear to recognize that we are experiencing increases in violent crime and that public safety must be the determiner of police budget and staffing levels.  I did know one promising item called Community Safety Initiative, which seems to address the needs of the public, yet it is limited only to District 1. I would hope that Council Member Herbal would expand her efforts to recognize that everyone in the city can benefit from a program leading to increased feelings of safety. The Human Services Work Program includes one public health item. It addresses the city's response to COVID, but fails to recognize the other ongoing public health challenges, including TB and hepatitis.  Our biggest public health challenges, untreated mental health and chronic drug abuse are completely missing from the work program. Addressing these issues should be at the highest priority for the council since they are the primary underlying causes of inhumane and unhealthy encampments on our streets and in our parks. I urge you to make comprehensive changes to the 2021 work plan to support safe and healthy communities as your top priority. Thank you.",Public Safety and Law Enforcement
SEA_03_15_21,SEA,"Seattle, WA",2021-03-15,2021-03-01,Training,Public Comment,Commenter,5014.0,5076.0,"Hi, my name is Blythe. I'm a renter in Mount Acre, and I'm calling to express my complete disappointment with the council's decision to delay the vote on right-to-council legislation. This legislation is strong enough as is.  I have no doubt that any revisions would only serve to weaken it and exclude many vulnerable people. The idea of introducing means testing or eligibility requirements, which is the same thing, is absolutely ridiculous. People who are facing eviction are already a means tested group. If you have money, you're not going to find yourself facing an eviction notice. The argument that people making $100,000 a year would abuse the system is absurd. Means testing would only hurt to serve black renters, women renters, parents, and children.  Moreover, I find it incredibly hypocritical that council members claim to be concerned about the cost of this legislation, but had no problem approving a $370 million police budget. We need right to council now with no means testing and no loopholes. Also, Council Member Gonzalez has no right to silence renters and working people expressing justifiable anger with council members' unwillingness to fight for their needs.",Homelessness
SEA_03_15_21,SEA,"Seattle, WA",2021-03-15,2021-03-01,Training,Public Comment,Commenter,4942.0,5006.0,"Hi, I'm a renter in District 2, and I'd like to say that it's shameful that council members have voted to delay this vital and urgent legislation to give the right to counsel to renters. I can't believe I've attended more meetings on this legislation than Council Member Juarez, who's actually on the Renters' Rights Committee. It's shameful that she's wanting more time to understand legislation without even doing basic due diligence to attend the committee you're assigned to. It's absurd to say that the council has been successful at defending tenants because of some sort of foot-dragging approach.  I know that the Seattle process has funded 10 studies on the impact of municipal broadband, all of which say municipal broadband would lift up communities of color, people with disabilities, and homeless people. Yet here we are, one year into a pandemic where Seattle's children and workers are completely dependent on corporate-owned Wi-Fi, which is prone to outages, and even for-profit throttling. And we don't have any municipal broadband. The reason the council has passed pro-tenant legislation is because of a powerful movement in having a voice like council members who want in office.  to fight to the nail to bring forward that legislation. Thank you so much, Shama, for fighting for constituents calling to speak to public officials who are paid by our tax dollars, and shame on Gonzalez.",Housing
SEA_03_15_21,SEA,"Seattle, WA",2021-03-15,2021-03-01,Training,Public Comment,Commenter,4803.0,4865.0,"Hi, this is Sonia Ponath. As a small landlord, I support council members' wants right to cancel legislation. I urge you to vote yes.  And also, thank you, Council Member Sawant, for standing up for the rights of public comment. This is a very important discussion. Now, I'm worried that if we have more debate on this, you know, is it going to strengthen the legislation if a loophole emerges where tenants with small landlords have fewer rights and are means tested? No. Sounds like that familiar story of big business hiding behind the smaller ones because we know big business and corporate landlords can pay for things but don't want to. They claim it will hurt the smaller landlords.  When the Cheesecake Factory announced last year they wouldn't pay rent on 211 restaurants, they got a $200 million investment. No delays or means testing there. Also, it's important to understand that guaranteeing a right to counsel doesn't force small landlords to evict their tenants. That's the decision. It just means the evicted tenant also gets a lawyer, which the small landlord doesn't pay for. And Councilmember Gonzalez, you should not threaten to meet so once.",Housing
SEA_03_15_21,SEA,"Seattle, WA",2021-03-15,2021-03-01,Training,Public Comment,Commenter,4727.0,4792.0,"Yes, hello. I'm Holly Jansma, UFC W21 member. I am in support of counsel with, you know, means testing. Prior to the pandemic, my family and I were forced to leave our apartment due to an increase in a rent that we couldn't afford. Coincidentally, I had to leave my job temporarily due to health complications. We had enough money in our savings to put down on a cheaper apartment, plus a few months' rent to get us by until I could return to work again.  Even though my partner was working full-time and I had proof of full-time employment, including pay stubs, a letter from my employer, support from my union, I had bank statements, we kept getting turned down for apartments. I spent weeks and weeks trying to find a shelter. It kept striking out. By the skin of our teeth, we were lucky enough to find an apartment.  I find this unacceptable. We need to close up loopholes that protect corporate landlords and prevent people who are facing situations beyond their control from getting.",Housing
