council,session_id,session_datetime,body_name,normalized_body_name,cdp_url,minutes_pdf_url,source_video_url
oakland,7b3893c7f091,2021-02-16 21:30:00+00:00,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,full council,https://councildataproject.org/oakland/#/events/5d244af7a6d6?s=0,https://oakland.legistar1.com/oakland/meetings/2021/2/8482_M___Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_and_the_City_Council_21-02-16_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/3d18fe9de675a08d2b8a072941c06cf52a147ba247399e41e7b9b8e0997a34d5-video.mp4?alt=media
oakland,7756a362ae43,2021-03-16 20:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/10f269a1a02d?s=0,https://oakland.legistar1.com/oakland/meetings/2021/3/8491_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-03-16_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/b297b78c65fa3c602cd06ad3c0b2e5e553017aba569f82069d1f02265d8bff99-video.mp4?alt=media
oakland,d0a9aa69ba27,2021-03-29 20:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/cac87ea40724?s=0,https://oakland.legistar1.com/oakland/meetings/2021/3/8499_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-03-29_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/0f27b75f2fffa9c56f7a861b8835212925a90548029141330ad1d116f234853c-video.mp4?alt=media
oakland,ce13df196e58,2021-03-30 16:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/1c5ff4d5383b?s=0,https://oakland.legistar1.com/oakland/meetings/2021/3/8489_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-03-30_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/e179ad6961eb14c639642c673712367cc979bf33aed5315d5ecb1b0cbfbb2969-video.mp4?alt=media
oakland,7719f0e0db99,2021-04-20 20:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/564020f1c3fd?s=0,https://oakland.legistar1.com/oakland/meetings/2021/4/8504_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-04-20_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/f02f3a1a04e2d0e8645ba141f3747bd84d92ec4c26700fd6298f2de540f1c107-video.mp4?alt=media
oakland,18d9c4e043cd,2021-05-03 21:00:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/5712e00a80eb?s=0,https://oakland.legistar1.com/oakland/meetings/2021/5/8523_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-05-03_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/c3436030b5d634f5e9815b33d2f4a59335d49e120dd96ac9a8684e73df4e5053-video.mp4?alt=media
oakland,a8cdb7d35a88,2021-05-04 20:30:00+00:00,* Concurrent Meeting of the Oakland Redevelopment Successor Agency and the City Council,full council,https://councildataproject.org/oakland/#/events/b664cfb5202c?s=0,https://oakland.legistar1.com/oakland/meetings/2021/5/8528_M___Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_and_the_City_Council_21-05-04_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/a09bba85fda4064967af2d053b2142b3bd937f189fe0804b0c954d9d0f274838-video.mp4?alt=media
oakland,f5125c773d51,2021-05-26 16:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/17a531d2554d?s=0,https://oakland.legistar1.com/oakland/meetings/2021/5/8538_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-05-26_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/3e28b955c442c5668bc6a9ca54bc8e4993f5466caf71b4249418409f1df4c144-video.mp4?alt=media
oakland,e72fd9ec7f60,2021-06-24 17:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/0fbe6a1c73ea?s=0,https://oakland.legistar1.com/oakland/meetings/2021/6/8533_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-06-24_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/fe254af2fde5f496accb7883337511e61d9e1a6e5e627e0769495485fe9adcb6-video.mp4?alt=media
oakland,b9d22f4e51f8,2021-07-26 20:30:00+00:00,Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council,full council,https://councildataproject.org/oakland/#/events/27de0ef7c3ec?s=0,https://oakland.legistar1.com/oakland/meetings/2021/7/8566_M_Special_Concurrent_Meeting_of_the_Oakland_Redevelopment_Successor_Agency_City_Council_21-07-26_Meeting_Minutes.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-oakland-ba81c097.appspot.com/o/e5ee1815b8eefdb10cc4c945c5310044aeff13fc6caa060110ecc5b269a4add7-video.mp4?alt=media
