council,session_id,session_datetime,body_name,normalized_body_name,cdp_url,minutes_pdf_url,source_video_url,audio_url,year
richmond,d3a090a85870,2021-02-22 23:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/3b07efaa5d30?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/2/3702_M_City_Council_21-02-22_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/376294ebd163981c219feac0b4b92827121f19806994d225a9056eae590cc1e6-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/376294ebd163981c219feac0b4b92827121f19806994d225a9056eae590cc1e6-audio.wav,2021
richmond,a80c4c713e17,2021-03-08 23:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/80200efb5326?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/3/3703_M_City_Council_21-03-08_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/cb593c5004c8d269bac05f135f6203bdbc94459aed46ae7f4d42ec1f03d4ba0d-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/cb593c5004c8d269bac05f135f6203bdbc94459aed46ae7f4d42ec1f03d4ba0d-audio.wav,2021
richmond,5d1cc815d080,2021-04-05 21:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/cbe0db09e235?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/4/3945_M_City_Council_21-04-05_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/b0629e2207ee8bbf14c0e1444ad39af06b28ac51c72357b0470f4f80b4e9ca1f-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/b0629e2207ee8bbf14c0e1444ad39af06b28ac51c72357b0470f4f80b4e9ca1f-audio.wav,2021
richmond,b6ef3eb85bda,2021-04-12 22:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/c5c6089f5dc5?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/4/3705_M_City_Council_21-04-12_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/de80d4664f5f5499059c8d781896de11ef4afee3d8416f4b106ffaca3bbb34a3-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/de80d4664f5f5499059c8d781896de11ef4afee3d8416f4b106ffaca3bbb34a3-audio.wav,2021
richmond,95eb08b9a943,2021-05-10 22:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/7c78352d61fd?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/5/3707_M_City_Council_21-05-10_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/0f3ea50c4d309f6d1e8fde7257baea5afaf4ba4ee9bfd104d85bc7d9995738e3-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/0f3ea50c4d309f6d1e8fde7257baea5afaf4ba4ee9bfd104d85bc7d9995738e3-audio.wav,2021
richmond,75d9271cc777,2021-06-14 22:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/97f5db86427f?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/6/3709_M_City_Council_21-06-14_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/049c83174152c93b96236b4b195a8f4f1a02cfa66ca2cd76bab9a872e2df71cd-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/049c83174152c93b96236b4b195a8f4f1a02cfa66ca2cd76bab9a872e2df71cd-audio.wav,2021
richmond,1ad1f74d7bea,2021-06-28 22:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/e4352363634c?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/6/3710_M_City_Council_21-06-28_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/e3b3014b6c8ba420ac567929e2a25d53d64a81c5bc6f5d94c4a5256a36a3f76e-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/e3b3014b6c8ba420ac567929e2a25d53d64a81c5bc6f5d94c4a5256a36a3f76e-audio.wav,2021
richmond,e8b91df7353a,2021-11-08 23:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/caebeb6f953a?s=0,https://legistar2.granicus.com/richmondva/meetings/2021/11/3810_M_City_Council_21-11-08_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/4ba6bf13e4040e67be8e8bc0d8f16af6f7647d6f6dd76d2cb30ddc2e4bf27287-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/4ba6bf13e4040e67be8e8bc0d8f16af6f7647d6f6dd76d2cb30ddc2e4bf27287-audio.wav,2021
richmond,5e729985d634,2022-01-10 23:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/1b445aabf8fc?s=0,https://legistar2.granicus.com/richmondva/meetings/2022/1/3992_M_City_Council_22-01-10_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/f75d3c521fb5be13633d6c62f24a42b3a331601b0ba5eafb0f000e3d05a2ced3-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/f75d3c521fb5be13633d6c62f24a42b3a331601b0ba5eafb0f000e3d05a2ced3-audio.wav,2022
richmond,8ba180d6cb40,2022-01-12 22:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/c79e757e1a67?s=0,https://legistar2.granicus.com/richmondva/meetings/2022/1/4164_M_City_Council_22-01-12_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/20155475017532479f8695350a92020e6bc5ca64dbfc819493910e64c8399b69-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/20155475017532479f8695350a92020e6bc5ca64dbfc819493910e64c8399b69-audio.wav,2022
richmond,84abef6b22a0,2022-02-28 23:00:00+00:00,City Council,full council,https://councildataproject.org/richmond/#/events/c54ef1f13251?s=0,https://legistar2.granicus.com/richmondva/meetings/2022/2/3949_M_City_Council_22-02-28_Summary.pdf,https://storage.googleapis.com/download/storage/v1/b/cdp-richmond-a3d06941.appspot.com/o/2f50067ebd48f45ba09264df4436c507872d86a28346dc3577ee18bbb4209acb-video.mp4?alt=media,gs://cdp-richmond-a3d06941.appspot.com/2f50067ebd48f45ba09264df4436c507872d86a28346dc3577ee18bbb4209acb-audio.wav,2022
