council,session_id,session_datetime,body_name,normalized_body_name,cdp_url,minutes_pdf_url,source_video_url,transcript_as_csv_path
seattle,d13fd84e7845,2023-02-16 17:30:00+00:00,"Governance, Native Communities, and Tribal Governments Committee",other,https://councildataproject.org/seattle/#/events/292bd698ea59?s=0,,https://video.seattle.gov/media/council/govern_021623_2692303V.mp4,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-seattle-21723dcf/event-292bd698ea59/session-d13fd84e7845/transcript.csv
seattle,9a843ef701db,2022-03-02 17:30:00+00:00,Finance and Housing Committee,housing committee,https://councildataproject.org/seattle/#/events/e0373e9e1abf?s=0,https://legistar2.granicus.com/seattle/meetings/2022/3/5029_M_Finance_and_Housing_Committee_22-03-02_Committee_Minutes.pdf,https://video.seattle.gov/media/council/fin_030222_2612207V.mp4,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-seattle-21723dcf/event-e0373e9e1abf/session-9a843ef701db/transcript.csv
seattle,29290904534e,2022-05-04 21:00:00+00:00,Public Assets and Homelessness Committee,other,https://councildataproject.org/seattle/#/events/fe4d7b0d7222?s=0,https://legistar2.granicus.com/seattle/meetings/2022/5/5110_M_Public_Assets_and_Homelessness_Committee_22-05-04_Committee_Minutes.pdf,https://video.seattle.gov/media/council/assets_050422_2702215V.mp4,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-seattle-21723dcf/event-fe4d7b0d7222/session-29290904534e/transcript.csv
seattle,79c215c1cf70,2022-07-27 16:30:00+00:00,"Economic Development, Technology, and City Light Committee",other,https://councildataproject.org/seattle/#/events/a9be3e53b271?s=0,https://legistar2.granicus.com/seattle/meetings/2022/7/5203_M_Economic_Development%2C_Technology%2C_and_City_Light_Committee_22-07-27_Committee_Minutes.pdf,https://video.seattle.gov/media/council/econ_072722_2682225V.mp4,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-seattle-21723dcf/event-a9be3e53b271/session-79c215c1cf70/transcript.csv
seattle,f108cb7e78d0,2021-06-04 16:30:00+00:00,Finance and Housing Committee,housing committee,https://councildataproject.org/seattle/#/events/d971391c44a3?s=0,https://legistar2.granicus.com/seattle/meetings/2021/6/4761_M_Finance_and_Housing_Committee_21-06-04_Committee_Minutes.pdf,https://video.seattle.gov/media/council/fin_060421_2612121V.mp4,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-seattle-21723dcf/event-d971391c44a3/session-f108cb7e78d0/transcript.csv
seattle,ec19664da81b,2021-06-15 16:30:00+00:00,Finance and Housing Committee,housing committee,https://councildataproject.org/seattle/#/events/8a08cc3d8262?s=0,https://legistar2.granicus.com/seattle/meetings/2021/6/4762_M_Finance_and_Housing_Committee_21-06-15_Committee_Minutes.pdf,https://video.seattle.gov/media/council/fin_061521_2612123V.mp4,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-seattle-21723dcf/event-8a08cc3d8262/session-ec19664da81b/transcript.csv
seattle,f5129e9429ed,2022-08-17 16:30:00+00:00,Finance and Housing Committee,housing committee,https://councildataproject.org/seattle/#/events/cf66583c6f00?s=0,https://legistar2.granicus.com/seattle/meetings/2022/8/5232_M_Finance_and_Housing_Committee_22-08-17_Committee_Minutes.pdf,https://video.seattle.gov/media/council/fin_081722_2612229V.mp4,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-seattle-21723dcf/event-cf66583c6f00/session-f5129e9429ed/transcript.csv
seattle,7b73afd99aed,2020-10-19 21:00:00+00:00,City Council,full council,https://councildataproject.org/seattle/#/events/6a91636334e5?s=0,https://legistar2.granicus.com/seattle/meetings/2020/10/4584_M_City_Council_20-10-19_Full_Council_Meeting_Minutes.pdf,https://video.seattle.gov/media/council/council_101920_2022079V.mp4,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-seattle-21723dcf/event-6a91636334e5/session-7b73afd99aed/transcript.csv
seattle,be7903c5a217,2021-10-18 16:30:00+00:00,Council Briefing,other,https://councildataproject.org/seattle/#/events/314394336cf9?s=0,https://legistar2.granicus.com/seattle/meetings/2021/10/4894_M_Council_Briefing_21-10-18_Committee_Minutes.pdf,https://video.seattle.gov/media/council/brief_101821_2012181V.mp4,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-seattle-21723dcf/event-314394336cf9/session-be7903c5a217/transcript.csv
seattle,15939fcceb21,2020-03-03 22:00:00+00:00,Public Assets and Native Communities Committee,other,https://councildataproject.org/seattle/#/events/6cc5a4cb75df?s=0,https://legistar2.granicus.com/seattle/meetings/2020/3/4343_M_Public_Assets_and_Native_Communities_Committee_20-03-03_Committee_Minutes.pdf,https://video.seattle.gov/media/council/asset_030320_2642005V.mp4,/Users/evamaxfield/active/research/publicspeak/cdp-datasets/cdp-seattle-21723dcf/event-6cc5a4cb75df/session-15939fcceb21/transcript.csv
