session_id,transcript_quality,comment_or_hearing,segment_index,period_start_sentence_index,period_end_sentence_index,notes
feb44a9b86b3,good-safe-use,hearing,1,421,457,
feb44a9b86b3,good-safe-use,hearing,2,615,674,
fca2bf312c4f,good-safe-use,,,-1,-1,"no public comment (""no opprotunity.."")"
fb6aff5d419c,good-safe-use,,,-1,-1,no public comment
f6b71412b5a0,okay-use-if-needed,hearing,1,221,239,
f6b71412b5a0,okay-use-if-needed,hearing,2,958,1724,
f6b71412b5a0,okay-use-if-needed,hearing,3,2056,2068,
ed0fd60a3edc,good-safe-use,comment,1,147,152,
ed0fd60a3edc,good-safe-use,hearing,3,799,804,
ed0fd60a3edc,good-safe-to-use,hearing,2,336,692,
e1cc6a7e1806,good-safe-use,comment,1,14,229,
e16a0c0daa86,good-safe-use,,,-1,-1,no public comment
dc3660bea3d8,good-safe-use,comment,1,14,16,
d93e80ebd776,,,,-1,-1,"no public comment (""no opprotunity.."")"
d2e53c930621,good-safe-use,comment,1,185,187,
d2e53c930621,good-safe-use,hearing,2,256,257,
d2e53c930621,good-safe-use,hearing,3,365,368,
d2e53c930621,good-safe-use,hearing,4,542,559,
d2e53c930621,good-safe-use,hearing,5,795,806,
c7e0efd1d3d0,good-safe-use,,,-1,-1,no public comment
c5227f97a3f6,good-safe-use,,,-1,-1,"no public comment (""no opprotunity.."")"
bf73cb8f5faa,good-safe-use,comment,1,17,71,
ba053976adb3,good-safe-use,comment,1,62,158,
ba053976adb3,good-safe-use,hearing,2,246,463,
ba053976adb3,good-safe-use,hearing,3,1322,1325,
ba053976adb3,good-safe-use,hearing,4,1373,1378,
b4d9c3ccdf33,good-safe-use,comment,1,218,337,
b4d9c3ccdf33,good-safe-use,comment,2,394,619,
b4d9c3ccdf33,good-safe-use,hearing,3,809,1123,
b4d9c3ccdf33,good-safe-to-use,hearing,1,394,619,
b4d9c3ccdf33,good-safe-to-use,hearing,3,1306,1309,
ace4596b7e22,good-safe-use,comment,1,175,371,
ace4596b7e22,good-safe-use,hearing,2,560,610,
ace4596b7e22,good-safe-use,hearing,3,1158,1253,
ace4596b7e22,good-safe-use,hearing,4,1451,1815,
acb20ef0075e,good-safe-use,comment,,349,351,
acb20ef0075e,good-safe-use,comment,,515,548,
acb20ef0075e,good-safe-use,comment,,1005,1107,
acb20ef0075e,good-safe-to-use,comment,4,1253,1254,
acb20ef0075e,good-safe-to-use,comment,5,1600,1602,
acb20ef0075e,good-safe-to-use,comment,6,1845,1869,
acb20ef0075e,good-safe-to-use,comment,7,2253,2276,
9bfaf9e030b8,good-safe-use,comment,1,21,22,
9bfaf9e030b8,good-safe-use,hearing,2,127,139,
9bfaf9e030b8,good-safe-use,hearing,3,336,338,
9bfaf9e030b8,good-safe-use,hearing,4,434,435,
9bfaf9e030b8,good-safe-to-use,hearing,2,101,102,
9b8969591c48,good-safe-to-use,,-1,-1,-1,
9afc1356a1ce,good-safe-use,,,-1,-1,"no public comment (""no opprotunity.."")"
99c1e1a4985e,good-safe-use,comment,1,231,885,
97b2254aa25e,good-safe-to-use,comment,1,21,23,
94da35c79e20,good-safe-use,hearing,1,516,517,
94da35c79e20,good-safe-use,hearing,2,694,695,
94da35c79e20,good-safe-to-use,comment,1,25,26,
916becca876a,good-safe-use,hearing,1,294,300,
8a50286a2f8f,good-safe-to-use,,-1,-1,-1,
80f37be5c828,good-safe-use,hearing,3,151,229,
80f37be5c828,good-safe-use,hearing,5,478,889,
80f37be5c828,good-safe-use,hearing,6,1226,1280,
80f37be5c828,good-safe-to-use,hearing,2,305,377,
7cc92662a3ee,good-safe-use,hearing,1,84,94,
7967098d2d1e,okay-use-if-needed,comment,1,411,421,
7967098d2d1e,okay-use-if-needed,comment,2,1258,1265,
7967098d2d1e,okay-use-if-needed,comment,3,1290,1335,
70c4ade2c7d5,bad-do-not-use,,,,,
636aa7c3486b,good-safe-use,comment,1,59,62,
5fafbd756e0b,good-safe-use,,,-1,-1,"no public comment (""no opprotunity.."")"
5cc494930775,good-safe-use,,1,319,624,
5cc494930775,good-safe-use,,,934,1402,
5a19cf40c561,good-safe-to-use,comment,1,81,126,
5a19cf40c561,good-safe-to-use,comment,2,351,393,
5a19cf40c561,good-safe-to-use,comment,3,635,637,
5a19cf40c561,good-safe-to-use,comment,4,707,710,
524d8522c99f,bad-do-not-use,,,,,
51ec07d507c5,good-safe-use,comment,1,15,16,
4740e71a6966,good-safe-use,hearing,2,189,296,
4740e71a6966,good-safe-use,hearing,3,580,741,
4740e71a6966,good-safe-use,hearing,4,932,936,
4740e71a6966,good-safe-use,hearing,5,966,968,
4740e71a6966,good-safe-use,hearing,6,987,989,
4740e71a6966,good-safe-use,hearing,7,1003,1005,
4740e71a6966,good-safe-use,hearing,8,1020,1022,
4740e71a6966,good-safe-use,hearing,9,1036,1039,
4740e71a6966,good-safe-use,hearing,10,1045,1051,
4740e71a6966,good-safe-use,hearing,11,1066,1108,
4740e71a6966,good-safe-use,hearing,12,1164,1168,
4740e71a6966,good-safe-to-use,hearing,3,923,936,
45eee185afc1,good-safe-use,,,-1,-1,no public comment
40cb7dfc8c77,bad-do-not-use,,,,,
407e195ad566,good-safe-use,comment,1,70,187,
407e195ad566,good-safe-use,hearing,2,277,281,
407e195ad566,good-safe-use,hearing,3,435,437,
407e195ad566,good-safe-use,hearing,4,541,564,
407e195ad566,good-safe-use,hearing,5,700,716,
405f7cfbe7e6,,,,-1,-1,no public comment
3b5502055532,good-safe-use,,,-1,-1,no public comment
273f5654256d,good-safe-use,,,-1,-1,no public comment
1a5f1f855dd1,good-safe-use,comment,1,31,339,
150f623f6c89,good-safe-to-use,,-1,-1,-1,
0e03ad0f952f,good-safe-use,,,-1,-1,no public comment
0ae41e6c7571,okay-use-if-needed,hearing,1,9,11,
0ac6b8a6e5db,good-safe-use,hearing,3,742,774,
0ac6b8a6e5db,good-safe-to-use,comment,1,206,300,
0ac6b8a6e5db,good-safe-to-use,hearing,2,317,581,
0ac6b8a6e5db,good-safe-to-use,hearing,4,826,831,
06b67033b325,good-safe-use,hearing,2,57,63,
06b67033b325,good-safe-use,hearing,3,155,158,
06b67033b325,good-safe-to-use,comment,1,25,27,
01ed3776dea4,good-safe-use,comment,1,152,242,
